head,predicate,tail,dataset
12600888,_hypernym,11567411,train
12187450,_member_meronym,12187663,train
12090041,_member_meronym,12097927,train
01587148,_hypernym,01507175,train
02701962,_derivationally_related_form,04162998,train
00510723,_hypernym,00510189,train
02525447,_hypernym,02524171,train
14121276,_hypernym,14059928,train
01248782,_derivationally_related_form,00359903,train
12335483,_hypernym,12334891,train
01207527,_derivationally_related_form,00333829,train
05748285,_hypernym,05748054,test
01813884,_derivationally_related_form,07529563,train
11909048,_hypernym,11565385,train
02713852,_hypernym,02713372,train
11902595,_member_meronym,11902709,train
02611002,_derivationally_related_form,11410625,train
10746931,_hypernym,09820263,train
02496816,_derivationally_related_form,00089027,train
02416751,_verb_group,02416278,train
01125429,_also_see,00996448,train
09857007,_hypernym,09629246,train
02067941,_member_meronym,02068408,test
08340989,_hypernym,08339939,train
01004072,_hypernym,00383606,test
12437311,_member_meronym,12437513,test
02705303,_hypernym,01105639,train
10641551,_derivationally_related_form,00796976,train
12039743,_member_meronym,12052630,train
01981436,_derivationally_related_form,00052334,train
02472293,_has_part,05563266,train
05474346,_has_part,05473928,train
02744977,_derivationally_related_form,06892016,train
02662979,_derivationally_related_form,01203676,test
12815925,_member_meronym,12821257,train
01121855,_hypernym,01120448,train
05624042,_derivationally_related_form,02474239,train
03029603,_has_part,04228844,train
04947186,_hypernym,04946877,train
01409940,_member_meronym,01410109,train
14425103,_derivationally_related_form,01321456,train
02923510,_derivationally_related_form,08095647,train
02139199,_hypernym,01886756,train
05629381,_hypernym,05625879,train
10915862,_instance_hypernym,10020890,train
02231052,_hypernym,02159955,train
13259481,_hypernym,13258362,train
08506932,_instance_hypernym,08506641,train
00689673,_derivationally_related_form,02215001,train
00552815,_hypernym,00109660,train
11911591,_member_meronym,12002197,train
00477665,_hypernym,00140967,train
01036996,_derivationally_related_form,02488834,train
08642517,_hypernym,08641113,train
13632007,_hypernym,13601596,train
02479896,_member_meronym,02481629,train
11374281,_instance_hypernym,10060621,train
09938672,_derivationally_related_form,04956594,train
08877208,_instance_hypernym,08633957,train
00137877,_hypernym,00136329,train
09044862,_has_part,09102016,train
04743605,_derivationally_related_form,01409581,train
02269143,_derivationally_related_form,00192613,train
00277935,_also_see,01463520,train
08022259,_instance_hypernym,08392137,train
04785908,_hypernym,04723816,train
00910135,_derivationally_related_form,10018021,train
09424489,_hypernym,09190918,train
02658867,_hypernym,02657219,train
12323411,_hypernym,11562747,train
13486838,_synset_domain_topic_of,06115701,train
07393161,_derivationally_related_form,02171664,train
04692157,_derivationally_related_form,01549905,train
08220891,_synset_domain_topic_of,06066555,train
06845599,_member_of_domain_usage,04007510,train
01637982,_hypernym,01633343,train
07365849,_derivationally_related_form,01859586,train
05779371,_hypernym,05773923,train
01655902,_synset_domain_topic_of,00911048,train
02569151,_hypernym,01432517,train
00982293,_hypernym,00941990,valid
00202934,_derivationally_related_form,10326087,train
09768830,_hypernym,10036266,train
14058252,_derivationally_related_form,00077698,train
13200806,_hypernym,13167078,train
00008435,_derivationally_related_form,06878934,test
00142665,_hypernym,00635850,train
02518324,_hypernym,02517938,train
02025530,_member_meronym,02031143,train
01040390,_hypernym,01039925,train
02253456,_derivationally_related_form,13279262,train
05578095,_derivationally_related_form,01751545,train
07528807,_hypernym,07528212,train
01106587,_hypernym,01105259,train
00654625,_derivationally_related_form,10626867,train
01385170,_derivationally_related_form,09936620,valid
14433769,_hypernym,14433587,train
01137987,_derivationally_related_form,02433123,train
00996448,_also_see,01125429,train
13960464,_hypernym,13960117,train
14561618,_derivationally_related_form,00208497,train
02256010,_member_meronym,02256172,train
01435380,_derivationally_related_form,06260121,train
00195342,_hypernym,00173338,train
02006510,_member_meronym,02006656,train
13809769,_hypernym,13809207,train
02389927,_derivationally_related_form,08075388,train
01277431,_derivationally_related_form,13893786,train
00604811,_derivationally_related_form,10694258,train
10507230,_derivationally_related_form,02567519,train
00876665,_derivationally_related_form,08308497,train
02415831,_derivationally_related_form,00582868,train
02161432,_also_see,01275562,train
12862828,_hypernym,13112664,train
11609684,_has_part,07774842,train
02412939,_derivationally_related_form,10554455,train
09044862,_member_of_domain_region,10375690,train
06399995,_hypernym,06362953,train
01722447,_derivationally_related_form,00548802,train
01921964,_hypernym,01968569,train
15103226,_hypernym,14662574,train
10270232,_derivationally_related_form,02639075,train
04519153,_hypernym,03096960,train
13473097,_hypernym,13466586,train
06806469,_derivationally_related_form,00836236,train
08145871,_hypernym,07951464,test
14477667,_derivationally_related_form,02558172,test
09418169,_instance_hypernym,09411430,train
01456771,_derivationally_related_form,02156532,train
01261018,_hypernym,00173338,train
05568767,_hypernym,05474346,train
00027167,_hypernym,00002684,valid
01915365,_verb_group,01853696,train
03854065,_hypernym,04586932,train
00912833,_derivationally_related_form,01860497,train
06845599,_member_of_domain_usage,04012852,train
01995323,_member_meronym,01995686,train
13971561,_hypernym,13970236,train
09872557,_hypernym,09713501,train
10665302,_derivationally_related_form,02407338,train
14403772,_derivationally_related_form,01819911,train
02552737,_hypernym,01429349,test
01964049,_hypernym,01963571,train
08231874,_hypernym,08231184,train
00688768,_hypernym,00689344,train
03260293,_derivationally_related_form,00307419,train
01067816,_derivationally_related_form,10599806,train
06376572,_hypernym,07092158,train
07397955,_derivationally_related_form,02175578,train
00313806,_hypernym,00313647,train
07726796,_hypernym,07724943,train
02593863,_member_meronym,02595902,train
10355449,_hypernym,10363913,train
03034860,_has_part,03035252,train
01428155,_member_meronym,02543412,train
02893338,_derivationally_related_form,06702458,train
03351979,_hypernym,04100174,train
01970826,_also_see,01989053,train
01933204,_hypernym,01999798,train
05735478,_derivationally_related_form,00726300,train
10368414,_hypernym,10042845,train
01921204,_derivationally_related_form,10442417,train
02056971,_verb_group,01930482,train
11556187,_hypernym,11555413,train
02690708,_hypernym,02655135,test
05805475,_derivationally_related_form,00591115,train
08100481,_hypernym,08149781,train
02290461,_hypernym,02210855,train
15192890,_hypernym,15185007,train
00809654,_derivationally_related_form,00740712,train
00345641,_hypernym,00342028,train
00666058,_also_see,01535709,train
00335384,_hypernym,00331950,train
11827775,_member_meronym,11834148,train
08994834,_instance_hypernym,08524735,train
04113765,_hypernym,02733524,train
00483181,_hypernym,02458103,valid
02025009,_derivationally_related_form,08274565,train
00166172,_derivationally_related_form,01076615,train
06481320,_hypernym,06637824,train
01161017,_derivationally_related_form,02500144,train
01401517,_member_meronym,01401686,train
00750532,_derivationally_related_form,00731222,train
12351287,_hypernym,11555413,train
02232606,_member_meronym,02235575,train
10055730,_hypernym,00007846,train
02474780,_synset_domain_topic_of,08081668,train
08306665,_synset_domain_topic_of,06236802,train
05340317,_hypernym,05333777,valid
08628921,_derivationally_related_form,02727039,train
05333467,_has_part,05350061,train
05110408,_derivationally_related_form,01975912,train
00069295,_derivationally_related_form,05327767,train
10209616,_hypernym,09815790,train
11822849,_hypernym,11573660,train
02699783,_hypernym,02657219,train
12748248,_hypernym,13100677,train
08356074,_has_part,10467395,train
09764900,_derivationally_related_form,00038750,train
02643740,_hypernym,02642814,train
00803325,_hypernym,00802318,train
12496735,_hypernym,11585340,train
01061489,_also_see,00727564,train
01996574,_hypernym,02058994,train
03990834,_derivationally_related_form,00085046,train
10174695,_derivationally_related_form,08891595,train
12622875,_hypernym,12205694,train
00357023,_derivationally_related_form,01456771,test
07436100,_hypernym,07407777,train
02344381,_derivationally_related_form,07295629,train
00869596,_derivationally_related_form,01168961,train
00058002,_hypernym,00052334,train
09889691,_derivationally_related_form,01094086,train
06481320,_derivationally_related_form,00946755,train
07211752,_derivationally_related_form,00907930,train
01410363,_derivationally_related_form,04748836,train
03644378,_derivationally_related_form,01604251,train
01261293,_derivationally_related_form,01796346,train
09146111,_instance_hypernym,08524735,train
02165456,_hypernym,02164464,train
14669413,_hypernym,14662574,train
00409869,_hypernym,00126264,train
01599805,_hypernym,01332730,train
04617562,_hypernym,00024264,test
10221312,_derivationally_related_form,00854150,train
06755568,_hypernym,06753800,train
02413131,_has_part,07667151,train
07338681,_hypernym,07338552,train
05703429,_derivationally_related_form,02169352,train
10523341,_derivationally_related_form,08206460,train
13405296,_hypernym,13405962,train
01647229,_derivationally_related_form,00240184,train
08747054,_has_part,08847268,train
01435380,_derivationally_related_form,05250659,train
10214062,_derivationally_related_form,01126360,train
10644598,_hypernym,10053808,train
00591236,_derivationally_related_form,09775663,train
05297523,_hypernym,05220461,train
08143163,_hypernym,08337324,train
08713772,_has_part,08915372,train
05729875,_hypernym,05726596,train
08744236,_instance_hypernym,08691669,train
11997775,_member_meronym,11997969,train
00116376,_derivationally_related_form,01455866,train
01776313,_derivationally_related_form,02175578,train
02048698,_hypernym,02021795,train
05119837,_hypernym,05119367,train
01149470,_verb_group,01079873,train
10404242,_derivationally_related_form,02231473,train
00160261,_hypernym,00126264,train
05299927,_hypernym,05299178,train
12501745,_member_meronym,12555069,train
12766869,_hypernym,13100156,train
07157273,_member_of_domain_usage,00341184,train
06845599,_member_of_domain_usage,14886579,train
00855794,_derivationally_related_form,10526927,train
00963570,_derivationally_related_form,10630188,train
07492516,_hypernym,07490713,train
11600139,_member_meronym,11601487,train
11900058,_member_meronym,11908718,train
10726233,_hypernym,10193026,train
04447028,_hypernym,02881193,train
02609764,_derivationally_related_form,07291312,train
01790943,_member_meronym,01791107,train
07956887,_derivationally_related_form,02246686,train
01084866,_verb_group,01084588,test
05494365,_has_part,05494617,valid
02296153,_derivationally_related_form,06685198,train
12163035,_hypernym,13100677,train
04592099,_hypernym,03438257,train
02509287,_derivationally_related_form,00808182,train
07654886,_derivationally_related_form,01140315,train
09001373,_instance_hypernym,08654360,train
11895980,_hypernym,11575425,train
13887056,_derivationally_related_form,02718863,train
01206849,_hypernym,01206218,train
09891730,_hypernym,10631941,train
01595830,_derivationally_related_form,00149508,train
14425414,_hypernym,14425103,train
00222485,_derivationally_related_form,01620436,train
00583239,_also_see,02505716,train
04802198,_derivationally_related_form,00631391,train
12923839,_hypernym,11585340,train
02536557,_derivationally_related_form,11414608,train
03015254,_has_part,04190052,train
00233614,_derivationally_related_form,01137696,train
08860123,_member_of_domain_region,08167953,train
06714288,_derivationally_related_form,00824292,train
14094068,_hypernym,14058563,test
09087450,_instance_hypernym,08524735,train
03318438,_derivationally_related_form,02576921,train
01266945,_derivationally_related_form,01219993,train
01404129,_member_meronym,01404813,test
04173698,_derivationally_related_form,02163183,train
10584729,_hypernym,10129825,train
01463340,_derivationally_related_form,03819595,train
08706502,_instance_hypernym,08524735,train
00715674,_derivationally_related_form,01329239,train
00967098,_derivationally_related_form,07217924,train
02737187,_derivationally_related_form,13813042,train
08616050,_hypernym,08598301,train
01158190,_derivationally_related_form,01088192,train
12996225,_member_meronym,12996841,valid
05774614,_derivationally_related_form,01022420,train
00563824,_derivationally_related_form,05803212,train
02362798,_derivationally_related_form,04119892,train
10450303,_derivationally_related_form,13840719,train
06636806,_hypernym,06634376,train
02547014,_hypernym,01428580,train
00084738,_synset_domain_topic_of,00612160,train
00876542,_hypernym,00882159,train
06759063,_hypernym,06722453,train
00973056,_derivationally_related_form,09875786,train
07350754,_derivationally_related_form,01371454,train
09453566,_instance_hypernym,09411430,train
02526934,_hypernym,02526085,train
11420139,_hypernym,11490638,train
02557790,_hypernym,02557199,train
03924069,_hypernym,04262678,train
12610933,_member_meronym,12617739,valid
11496881,_synset_domain_topic_of,06089447,train
15213774,_has_part,15196537,train
01235769,_hypernym,01410223,valid
02113430,_hypernym,02110927,train
02257536,_member_meronym,02258065,valid
01500572,_hypernym,01500372,train
12216968,_hypernym,13112664,train
03350204,_hypernym,02881193,train
00284813,_hypernym,00283911,train
00290125,_hypernym,00286497,train
12624055,_hypernym,12623524,train
08816236,_has_part,09263087,train
02611442,_derivationally_related_form,06908159,train
12893094,_member_meronym,12897999,train
05472032,_hypernym,05470189,train
01640855,_derivationally_related_form,00035189,train
01936391,_hypernym,01934440,valid
14356328,_hypernym,14336539,train
00053913,_hypernym,00042757,valid
11708181,_hypernym,11564258,train
13714184,_hypernym,13608598,test
09886540,_synset_domain_topic_of,08199025,train
09773245,_derivationally_related_form,02378623,train
04329477,_hypernym,04105893,train
01767163,_derivationally_related_form,05832264,train
07504111,_derivationally_related_form,02195191,train
06295235,_member_of_domain_usage,03888605,train
09189411,_has_part,09172480,train
10621400,_derivationally_related_form,08075388,train
02600255,_derivationally_related_form,10099375,train
08740875,_has_part,08745901,test
00084371,_hypernym,00083975,train
01941670,_member_meronym,01945443,train
07954211,_hypernym,07951464,train
00882220,_hypernym,00856824,train
00567044,_synset_domain_topic_of,00482298,train
02600490,_hypernym,01162754,valid
10165448,_derivationally_related_form,02171039,train
01805801,_hypernym,01803078,train
01590171,_hypernym,01291069,train
01640855,_derivationally_related_form,00062451,train
07354731,_derivationally_related_form,01100145,train
10191943,_derivationally_related_form,05211044,train
00746587,_hypernym,00746232,test
00075618,_derivationally_related_form,02527651,train
13144511,_member_meronym,13144794,train
01187537,_hypernym,00358431,train
01462209,_hypernym,05426243,train
09240621,_synset_domain_topic_of,06084469,train
08831004,_has_part,09292545,train
01679837,_hypernym,01657723,train
00255710,_has_part,00396642,train
08975902,_has_part,09325530,train
02496210,_hypernym,07992450,train
14452294,_derivationally_related_form,01191838,train
00561571,_hypernym,02609764,train
07012534,_hypernym,06387980,train
05707146,_derivationally_related_form,00614999,train
01382818,_hypernym,01480149,train
07423365,_derivationally_related_form,02626604,train
03708962,_hypernym,04494204,train
02000954,_hypernym,01844917,train
01222328,_hypernym,01212572,train
12613285,_member_meronym,12613408,train
12930044,_member_meronym,12933827,train
05651971,_derivationally_related_form,02106006,train
01724459,_verb_group,01725051,train
00356621,_hypernym,00356199,train
05713737,_hypernym,05712076,train
00466053,_derivationally_related_form,00807273,train
13565781,_derivationally_related_form,00095990,train
12863624,_hypernym,12205694,train
03529629,_hypernym,03259505,train
07275078,_hypernym,07274425,train
07518878,_derivationally_related_form,01786906,train
11412334,_hypernym,11410625,train
13720600,_hypernym,13716084,train
15266911,_derivationally_related_form,02735418,train
03108193,_derivationally_related_form,04030965,train
02697950,_derivationally_related_form,05849284,train
13898315,_derivationally_related_form,00483466,train
03273913,_hypernym,04070727,test
00739082,_derivationally_related_form,05786372,train
02330582,_member_meronym,02350845,test
02613275,_derivationally_related_form,09847727,train
10763245,_hypernym,10335246,train
04258982,_derivationally_related_form,00533403,train
09437369,_hypernym,09258715,train
06845599,_member_of_domain_usage,14752702,train
00262076,_hypernym,01631072,train
00133851,_derivationally_related_form,04996823,train
02277663,_hypernym,02277448,train
09209263,_has_part,08954057,valid
01888784,_derivationally_related_form,07428954,train
01589582,_member_meronym,01589718,valid
04678401,_hypernym,04677952,train
00071646,_derivationally_related_form,10296832,train
00880269,_hypernym,00879759,train
00687738,_derivationally_related_form,14439745,valid
01946408,_synset_domain_topic_of,00815801,train
00378985,_derivationally_related_form,02309008,train
00719734,_derivationally_related_form,07510923,train
01889129,_hypernym,01888511,train
07296428,_derivationally_related_form,00123170,train
01364184,_verb_group,00542809,train
02149302,_derivationally_related_form,06709692,train
02616572,_hypernym,01429349,train
03788601,_hypernym,02821627,train
01605119,_member_meronym,01607103,train
04889527,_derivationally_related_form,01892953,train
01190172,_hypernym,01187810,train
09163192,_has_part,09164417,train
00352826,_derivationally_related_form,15266911,train
15169873,_has_part,15170504,train
14229912,_hypernym,14219661,train
02159271,_member_meronym,02269015,train
10773527,_derivationally_related_form,02574072,train
08860123,_member_of_domain_region,00162236,train
12501745,_member_meronym,12526946,train
01940248,_synset_domain_topic_of,00523513,train
01613239,_hypernym,01494310,train
06838652,_hypernym,06828818,train
01605119,_member_meronym,01610426,train
00877848,_derivationally_related_form,07011209,train
01533120,_derivationally_related_form,05118251,train
00948206,_derivationally_related_form,01164273,train
00072808,_derivationally_related_form,00639478,train
00990812,_derivationally_related_form,09769345,train
02478584,_derivationally_related_form,00231887,train
00932798,_derivationally_related_form,05895138,train
04321534,_derivationally_related_form,10658304,train
03146219,_hypernym,02862048,train
01789514,_derivationally_related_form,10160012,train
00531302,_derivationally_related_form,07335414,train
12882591,_hypernym,11579418,train
07622708,_hypernym,07622061,train
04689450,_hypernym,04688246,train
10781236,_derivationally_related_form,01868370,train
09334396,_derivationally_related_form,02022486,train
13477934,_hypernym,13440063,train
11807849,_member_meronym,11807979,train
01062817,_derivationally_related_form,00779061,train
07323922,_hypernym,07290905,train
09006413,_has_part,09008454,train
01337653,_hypernym,01332730,train
05457469,_hypernym,05456945,train
09976917,_derivationally_related_form,01911888,train
00314469,_hypernym,00584367,train
00990392,_hypernym,00990655,train
12892226,_member_meronym,12913352,train
01135952,_hypernym,01133281,train
02319428,_derivationally_related_form,03206405,train
12405209,_member_meronym,12406304,train
10503247,_hypernym,09977660,train
11083656,_instance_hypernym,09681351,train
01895263,_hypernym,01708676,train
13282007,_derivationally_related_form,02249741,train
11051070,_instance_hypernym,10123844,train
01101753,_hypernym,01101329,train
14367797,_hypernym,14367341,train
00841986,_derivationally_related_form,13555775,train
00382474,_hypernym,00381680,train
01532434,_verb_group,01533442,train
13563647,_hypernym,13489037,train
00995119,_derivationally_related_form,05160796,train
02619924,_derivationally_related_form,13962166,train
03585073,_hypernym,03446070,train
15127307,_has_part,15127507,train
08175498,_member_meronym,08175700,train
02685299,_derivationally_related_form,00006484,train
09559201,_derivationally_related_form,02607455,train
02497062,_derivationally_related_form,10257221,train
00233335,_derivationally_related_form,04181228,train
08701942,_has_part,08701410,train
12634734,_hypernym,12634429,train
02073041,_member_meronym,02074004,train
07813409,_hypernym,07809368,train
09304164,_instance_hypernym,09403734,train
00368592,_derivationally_related_form,00968211,train
02685665,_derivationally_related_form,07409592,train
13120211,_hypernym,13100677,train
01653384,_member_meronym,01653509,train
07291312,_derivationally_related_form,01620854,train
10648237,_derivationally_related_form,02258617,train
02305856,_derivationally_related_form,10178611,train
09850974,_hypernym,10055847,train
08102282,_hypernym,08101937,train
01739814,_derivationally_related_form,07705711,train
12838027,_member_meronym,12861751,train
13100156,_hypernym,00017222,train
02091410,_derivationally_related_form,13757249,train
09993252,_hypernym,10197967,train
08013845,_instance_hypernym,08392137,train
06617011,_hypernym,06613686,train
09369039,_hypernym,09376526,train
00681613,_hypernym,00690501,train
13176873,_hypernym,13167078,train
00166146,_similar_to,00168910,train
00217700,_derivationally_related_form,02472693,train
13576355,_hypernym,00033615,train
10008716,_derivationally_related_form,01564144,train
09307300,_derivationally_related_form,00657016,train
01162376,_hypernym,01160342,train
01789270,_derivationally_related_form,07517550,train
07619004,_hypernym,07557434,train
02535896,_derivationally_related_form,00234423,train
13049953,_hypernym,12997654,train
08910668,_member_of_domain_region,08034778,train
08871007,_member_of_domain_region,09867154,train
00135285,_derivationally_related_form,06372095,train
02950256,_derivationally_related_form,09811852,train
06880664,_derivationally_related_form,00135285,test
01959294,_derivationally_related_form,04767347,train
12651465,_member_meronym,12651611,train
06295235,_member_of_domain_usage,04205318,valid
11488387,_hypernym,07406765,train
02733187,_derivationally_related_form,05395690,train
01043820,_hypernym,01028655,train
05527216,_has_part,05526175,train
03546340,_hypernym,04341686,train
13777344,_derivationally_related_form,02479323,train
03924407,_hypernym,02984699,train
00073828,_hypernym,00070965,train
00725274,_hypernym,01767949,train
11444816,_derivationally_related_form,00308105,train
05305806,_has_part,05348884,train
09921673,_hypernym,00007846,train
06732581,_derivationally_related_form,01012073,train
08208560,_hypernym,08189659,train
00619183,_derivationally_related_form,00992331,train
01039925,_hypernym,01028082,train
01477373,_hypernym,01429349,train
12824909,_hypernym,11567411,train
01566185,_derivationally_related_form,07335581,train
01472417,_hypernym,01471825,train
02861022,_derivationally_related_form,01939811,train
12936999,_member_meronym,12937130,train
03873699,_hypernym,02848523,train
13002433,_member_meronym,13003254,train
14709265,_hypernym,14991927,train
10028765,_derivationally_related_form,01098706,train
09089782,_instance_hypernym,08524735,train
00552458,_hypernym,00126264,train
09752381,_synset_domain_topic_of,05778131,train
03068473,_derivationally_related_form,08946187,train
02463205,_hypernym,05595083,train
00487554,_hypernym,00126264,train
12590232,_hypernym,12582846,train
00815686,_derivationally_related_form,06746005,test
02930766,_hypernym,02958343,train
12290748,_hypernym,11669921,test
07364700,_derivationally_related_form,01884974,train
12649065,_hypernym,12641413,train
00383952,_hypernym,01066163,train
02215506,_derivationally_related_form,13365698,train
08810999,_instance_hypernym,09316454,train
01269633,_instance_hypernym,01075117,train
00633443,_derivationally_related_form,10634316,train
02125409,_derivationally_related_form,10523519,train
00259643,_derivationally_related_form,02250625,train
12957467,_member_meronym,12957608,train
07480068,_hypernym,00026192,train
05775081,_hypernym,05772356,train
02040273,_derivationally_related_form,07274425,train
07177924,_derivationally_related_form,00763399,train
02645597,_derivationally_related_form,05122099,train
02351010,_hypernym,00699815,train
08909537,_instance_hypernym,08654360,train
05737153,_derivationally_related_form,00657728,train
05269901,_has_part,05447599,train
09403734,_hypernym,09287968,train
03206405,_hypernym,03748162,train
01167981,_derivationally_related_form,03200357,train
07442068,_derivationally_related_form,02048891,train
07424109,_derivationally_related_form,10527334,train
00287258,_derivationally_related_form,14989820,train
13897996,_derivationally_related_form,00136800,train
07813107,_derivationally_related_form,01073822,train
05302499,_derivationally_related_form,00941990,train
02766044,_synset_domain_topic_of,08199025,train
12974286,_member_meronym,12974457,train
08163025,_hypernym,08163273,train
09736181,_hypernym,09641757,train
10597234,_derivationally_related_form,00996485,train
11225661,_instance_hypernym,10547145,train
07963613,_hypernym,07961480,valid
01539377,_member_meronym,01539772,train
05340599,_hypernym,05333777,train
10652954,_synset_domain_topic_of,06018465,train
15136147,_hypernym,15113229,train
02463141,_hypernym,02461314,train
12560016,_has_part,12560282,train
01186428,_derivationally_related_form,00842997,train
02194286,_derivationally_related_form,05715283,train
06956129,_hypernym,06955931,train
10240082,_hypernym,00007846,train
08900535,_has_part,08902569,train
11623967,_hypernym,11623105,train
01355646,_derivationally_related_form,00145929,train
14682133,_synset_domain_topic_of,06090869,train
08960987,_has_part,08961402,train
01089137,_hypernym,01088923,test
02636666,_hypernym,01429349,train
01612053,_derivationally_related_form,02542795,train
07836456,_synset_domain_topic_of,00243918,train
09067277,_has_part,09250165,train
08335414,_synset_domain_topic_of,08083599,valid
03751065,_derivationally_related_form,01176079,train
10058411,_hypernym,00007846,train
13122364,_hypernym,13121544,train
02482139,_derivationally_related_form,10576316,train
00161225,_hypernym,00162688,train
01609287,_derivationally_related_form,00114431,train
01403785,_synset_domain_topic_of,00464894,train
02356108,_member_meronym,02355477,train
01007924,_hypernym,00958334,train
07366145,_derivationally_related_form,02707125,train
13148019,_hypernym,11567411,train
01246926,_hypernym,01246541,train
02369012,_hypernym,01862557,train
09680657,_derivationally_related_form,02921753,train
04819026,_hypernym,04723816,train
07390945,_derivationally_related_form,02491383,train
09006413,_has_part,09008130,valid
01196802,_hypernym,01168468,train
13965274,_hypernym,13963970,train
05979595,_derivationally_related_form,01046006,train
01676313,_member_meronym,01681513,train
08728268,_instance_hypernym,08524735,train
05977340,_hypernym,06167328,train
09382990,_has_part,09380446,train
08798771,_member_of_domain_region,08021785,train
02417534,_hypernym,02416519,train
01989053,_verb_group,00613393,train
01807265,_member_meronym,01807701,train
03930087,_synset_domain_topic_of,08199025,train
09189411,_has_part,08717209,test
01456463,_hypernym,01552519,train
08860123,_member_of_domain_region,10448322,train
01576917,_hypernym,00169806,train
12036533,_hypernym,11744583,train
00375071,_hypernym,00374063,train
10564660,_derivationally_related_form,01006239,train
01809655,_also_see,02047807,train
01543998,_derivationally_related_form,08647616,train
04733347,_derivationally_related_form,02276088,train
03735637,_derivationally_related_form,02704349,train
08304135,_member_meronym,08983742,train
06598445,_derivationally_related_form,02152812,train
14333433,_derivationally_related_form,00071178,train
08792548,_member_of_domain_region,08039312,test
09110422,_has_part,09110784,train
02278061,_hypernym,02321757,train
02134971,_hypernym,02075296,train
07230502,_derivationally_related_form,01026095,valid
00409281,_derivationally_related_form,08375369,train
12838027,_member_meronym,12851673,train
12734722,_member_meronym,12735009,train
01753354,_member_meronym,01753488,train
10501747,_hypernym,10332385,valid
02876657,_derivationally_related_form,01502279,train
10698368,_hypernym,10521662,train
00545557,_hypernym,00109660,train
06601327,_hypernym,06598915,train
01388813,_hypernym,01387786,train
10677713,_derivationally_related_form,02554922,train
09786338,_derivationally_related_form,02264179,train
08920381,_has_part,08920924,train
11804082,_member_meronym,11827169,train
01485158,_derivationally_related_form,01103788,test
00179718,_derivationally_related_form,13135832,train
04986883,_synset_domain_topic_of,06172789,train
01182654,_derivationally_related_form,02582042,train
00947923,_hypernym,00947719,train
05279026,_hypernym,05269901,train
06740644,_derivationally_related_form,00904690,train
02330247,_hypernym,02327200,train
03357081,_hypernym,04489008,test
01489989,_derivationally_related_form,02964389,train
10396106,_derivationally_related_form,08414381,train
00480221,_hypernym,00126264,train
07212424,_derivationally_related_form,00873682,train
02673637,_hypernym,02721160,train
00217152,_derivationally_related_form,11454591,train
11897760,_hypernym,11575425,train
00442063,_derivationally_related_form,01048466,train
05639431,_hypernym,05637558,train
07610295,_hypernym,07557165,train
