head,predicate,tail
03924069,_hypernym,04262678
11496881,_synset_domain_topic_of,06089447
15213774,_has_part,15196537
02113430,_hypernym,02110927
01500572,_hypernym,01500372
12216968,_hypernym,13112664
03350204,_hypernym,02881193
00284813,_hypernym,00283911
00290125,_hypernym,00286497
12624055,_hypernym,12623524
08816236,_has_part,09263087
02611442,_derivationally_related_form,06908159
12893094,_member_meronym,12897999
05472032,_hypernym,05470189
01640855,_derivationally_related_form,00035189
14356328,_hypernym,14336539
11708181,_hypernym,11564258
09886540,_synset_domain_topic_of,08199025
09773245,_derivationally_related_form,02378623
04329477,_hypernym,04105893
01767163,_derivationally_related_form,05832264
07504111,_derivationally_related_form,02195191
06295235,_member_of_domain_usage,03888605
09189411,_has_part,09172480
10621400,_derivationally_related_form,08075388
02600255,_derivationally_related_form,10099375
00084371,_hypernym,00083975
01941670,_member_meronym,01945443
07954211,_hypernym,07951464
00882220,_hypernym,00856824
00567044,_synset_domain_topic_of,00482298
10165448,_derivationally_related_form,02171039
01805801,_hypernym,01803078
01590171,_hypernym,01291069
01640855,_derivationally_related_form,00062451
07354731,_derivationally_related_form,01100145
10191943,_derivationally_related_form,05211044
00075618,_derivationally_related_form,02527651
13144511,_member_meronym,13144794
01187537,_hypernym,00358431
01462209,_hypernym,05426243
09240621,_synset_domain_topic_of,06084469
08831004,_has_part,09292545
01679837,_hypernym,01657723
00255710,_has_part,00396642
08975902,_has_part,09325530
02496210,_hypernym,07992450
14452294,_derivationally_related_form,01191838
00561571,_hypernym,02609764
07012534,_hypernym,06387980
05707146,_derivationally_related_form,00614999
01382818,_hypernym,01480149
07423365,_derivationally_related_form,02626604
03708962,_hypernym,04494204
02000954,_hypernym,01844917
01222328,_hypernym,01212572
12613285,_member_meronym,12613408
12930044,_member_meronym,12933827
05651971,_derivationally_related_form,02106006
01724459,_verb_group,01725051
00356621,_hypernym,00356199
05713737,_hypernym,05712076
00466053,_derivationally_related_form,00807273
13565781,_derivationally_related_form,00095990
12863624,_hypernym,12205694
03529629,_hypernym,03259505
07275078,_hypernym,07274425
07518878,_derivationally_related_form,01786906
11412334,_hypernym,11410625
13720600,_hypernym,13716084
15266911,_derivationally_related_form,02735418
03108193,_derivationally_related_form,04030965
02697950,_derivationally_related_form,05849284
13898315,_derivationally_related_form,00483466
00739082,_derivationally_related_form,05786372
02613275,_derivationally_related_form,09847727
10763245,_hypernym,10335246
04258982,_derivationally_related_form,00533403
09437369,_hypernym,09258715
06845599,_member_of_domain_usage,14752702
00262076,_hypernym,01631072
00133851,_derivationally_related_form,04996823
02277663,_hypernym,02277448
01888784,_derivationally_related_form,07428954
04678401,_hypernym,04677952
00071646,_derivationally_related_form,10296832
00880269,_hypernym,00879759
01946408,_synset_domain_topic_of,00815801
00378985,_derivationally_related_form,02309008
00719734,_derivationally_related_form,07510923
01889129,_hypernym,01888511
07296428,_derivationally_related_form,00123170
01364184,_verb_group,00542809
02149302,_derivationally_related_form,06709692
02616572,_hypernym,01429349
03788601,_hypernym,02821627
01605119,_member_meronym,01607103
04889527,_derivationally_related_form,01892953
01190172,_hypernym,01187810
09163192,_has_part,09164417
00352826,_derivationally_related_form,15266911
15169873,_has_part,15170504
14229912,_hypernym,14219661
02159271,_member_meronym,02269015
10773527,_derivationally_related_form,02574072
08860123,_member_of_domain_region,00162236
12501745,_member_meronym,12526946
01940248,_synset_domain_topic_of,00523513
01613239,_hypernym,01494310
06838652,_hypernym,06828818
01605119,_member_meronym,01610426
00877848,_derivationally_related_form,07011209
01533120,_derivationally_related_form,05118251
00948206,_derivationally_related_form,01164273
00072808,_derivationally_related_form,00639478
00990812,_derivationally_related_form,09769345
02478584,_derivationally_related_form,00231887
00932798,_derivationally_related_form,05895138
04321534,_derivationally_related_form,10658304
03146219,_hypernym,02862048
01789514,_derivationally_related_form,10160012
00531302,_derivationally_related_form,07335414
12882591,_hypernym,11579418
07622708,_hypernym,07622061
04689450,_hypernym,04688246
10781236,_derivationally_related_form,01868370
09334396,_derivationally_related_form,02022486
13477934,_hypernym,13440063
11807849,_member_meronym,11807979
01062817,_derivationally_related_form,00779061
07323922,_hypernym,07290905
09006413,_has_part,09008454
01337653,_hypernym,01332730
05457469,_hypernym,05456945
09976917,_derivationally_related_form,01911888
00314469,_hypernym,00584367
00990392,_hypernym,00990655
12892226,_member_meronym,12913352
01135952,_hypernym,01133281
02319428,_derivationally_related_form,03206405
12405209,_member_meronym,12406304
10503247,_hypernym,09977660
11083656,_instance_hypernym,09681351
01895263,_hypernym,01708676
13282007,_derivationally_related_form,02249741
11051070,_instance_hypernym,10123844
01101753,_hypernym,01101329
14367797,_hypernym,14367341
00841986,_derivationally_related_form,13555775
00382474,_hypernym,00381680
01532434,_verb_group,01533442
13563647,_hypernym,13489037
00995119,_derivationally_related_form,05160796
02619924,_derivationally_related_form,13962166
03585073,_hypernym,03446070
15127307,_has_part,15127507
08175498,_member_meronym,08175700
02685299,_derivationally_related_form,00006484
09559201,_derivationally_related_form,02607455
02497062,_derivationally_related_form,10257221
00233335,_derivationally_related_form,04181228
08701942,_has_part,08701410
12634734,_hypernym,12634429
02073041,_member_meronym,02074004
07813409,_hypernym,07809368
09304164,_instance_hypernym,09403734
00368592,_derivationally_related_form,00968211
02685665,_derivationally_related_form,07409592
13120211,_hypernym,13100677
01653384,_member_meronym,01653509
07291312,_derivationally_related_form,01620854
10648237,_derivationally_related_form,02258617
02305856,_derivationally_related_form,10178611
09850974,_hypernym,10055847
08102282,_hypernym,08101937
01739814,_derivationally_related_form,07705711
12838027,_member_meronym,12861751
13100156,_hypernym,00017222
02091410,_derivationally_related_form,13757249
09993252,_hypernym,10197967
08013845,_instance_hypernym,08392137
06617011,_hypernym,06613686
09369039,_hypernym,09376526
00681613,_hypernym,00690501
13176873,_hypernym,13167078
00166146,_similar_to,00168910
00217700,_derivationally_related_form,02472693
13576355,_hypernym,00033615
10008716,_derivationally_related_form,01564144
09307300,_derivationally_related_form,00657016
01162376,_hypernym,01160342
01789270,_derivationally_related_form,07517550
07619004,_hypernym,07557434
02535896,_derivationally_related_form,00234423
13049953,_hypernym,12997654
08910668,_member_of_domain_region,08034778
08871007,_member_of_domain_region,09867154
00135285,_derivationally_related_form,06372095
02950256,_derivationally_related_form,09811852
01959294,_derivationally_related_form,04767347
12651465,_member_meronym,12651611
11488387,_hypernym,07406765
02733187,_derivationally_related_form,05395690
01043820,_hypernym,01028655
05527216,_has_part,05526175
03546340,_hypernym,04341686
13777344,_derivationally_related_form,02479323
03924407,_hypernym,02984699
00073828,_hypernym,00070965
00725274,_hypernym,01767949
11444816,_derivationally_related_form,00308105
05305806,_has_part,05348884
09921673,_hypernym,00007846
06732581,_derivationally_related_form,01012073
08208560,_hypernym,08189659
00619183,_derivationally_related_form,00992331
01039925,_hypernym,01028082
01477373,_hypernym,01429349
12824909,_hypernym,11567411
01566185,_derivationally_related_form,07335581
01472417,_hypernym,01471825
02861022,_derivationally_related_form,01939811
12936999,_member_meronym,12937130
03873699,_hypernym,02848523
13002433,_member_meronym,13003254
14709265,_hypernym,14991927
10028765,_derivationally_related_form,01098706
09089782,_instance_hypernym,08524735
00552458,_hypernym,00126264
09752381,_synset_domain_topic_of,05778131
03068473,_derivationally_related_form,08946187
02463205,_hypernym,05595083
00487554,_hypernym,00126264
12590232,_hypernym,12582846
02930766,_hypernym,02958343
07364700,_derivationally_related_form,01884974
12649065,_hypernym,12641413
00383952,_hypernym,01066163
02215506,_derivationally_related_form,13365698
08810999,_instance_hypernym,09316454
01269633,_instance_hypernym,01075117
00633443,_derivationally_related_form,10634316
02125409,_derivationally_related_form,10523519
00259643,_derivationally_related_form,02250625
12957467,_member_meronym,12957608
07480068,_hypernym,00026192
05775081,_hypernym,05772356
02040273,_derivationally_related_form,07274425
07177924,_derivationally_related_form,00763399
02645597,_derivationally_related_form,05122099
02351010,_hypernym,00699815
08909537,_instance_hypernym,08654360
05737153,_derivationally_related_form,00657728
05269901,_has_part,05447599
09403734,_hypernym,09287968
03206405,_hypernym,03748162
01167981,_derivationally_related_form,03200357
07442068,_derivationally_related_form,02048891
07424109,_derivationally_related_form,10527334
00287258,_derivationally_related_form,14989820
13897996,_derivationally_related_form,00136800
07813107,_derivationally_related_form,01073822
05302499,_derivationally_related_form,00941990
02766044,_synset_domain_topic_of,08199025
12974286,_member_meronym,12974457
08163025,_hypernym,08163273
09736181,_hypernym,09641757
10597234,_derivationally_related_form,00996485
11225661,_instance_hypernym,10547145
01539377,_member_meronym,01539772
05340599,_hypernym,05333777
10652954,_synset_domain_topic_of,06018465
15136147,_hypernym,15113229
02463141,_hypernym,02461314
12560016,_has_part,12560282
01186428,_derivationally_related_form,00842997
02194286,_derivationally_related_form,05715283
06956129,_hypernym,06955931
10240082,_hypernym,00007846
08900535,_has_part,08902569
11623967,_hypernym,11623105
01355646,_derivationally_related_form,00145929
14682133,_synset_domain_topic_of,06090869
08960987,_has_part,08961402
02636666,_hypernym,01429349
01612053,_derivationally_related_form,02542795
07836456,_synset_domain_topic_of,00243918
09067277,_has_part,09250165
03751065,_derivationally_related_form,01176079
10058411,_hypernym,00007846
13122364,_hypernym,13121544
02482139,_derivationally_related_form,10576316
00161225,_hypernym,00162688
01609287,_derivationally_related_form,00114431
01403785,_synset_domain_topic_of,00464894
02356108,_member_meronym,02355477
01007924,_hypernym,00958334
07366145,_derivationally_related_form,02707125
13148019,_hypernym,11567411
01246926,_hypernym,01246541
02369012,_hypernym,01862557
09680657,_derivationally_related_form,02921753
04819026,_hypernym,04723816
07390945,_derivationally_related_form,02491383
01196802,_hypernym,01168468
13965274,_hypernym,13963970
05979595,_derivationally_related_form,01046006
01676313,_member_meronym,01681513
08728268,_instance_hypernym,08524735
05977340,_hypernym,06167328
09382990,_has_part,09380446
08798771,_member_of_domain_region,08021785
02417534,_hypernym,02416519
01989053,_verb_group,00613393
01807265,_member_meronym,01807701
03930087,_synset_domain_topic_of,08199025
01456463,_hypernym,01552519
08860123,_member_of_domain_region,10448322
01576917,_hypernym,00169806
12036533,_hypernym,11744583
00375071,_hypernym,00374063
10564660,_derivationally_related_form,01006239
01809655,_also_see,02047807
01543998,_derivationally_related_form,08647616
04733347,_derivationally_related_form,02276088
03735637,_derivationally_related_form,02704349
08304135,_member_meronym,08983742
06598445,_derivationally_related_form,02152812
14333433,_derivationally_related_form,00071178
09110422,_has_part,09110784
02278061,_hypernym,02321757
02134971,_hypernym,02075296
00409281,_derivationally_related_form,08375369
12838027,_member_meronym,12851673
12734722,_member_meronym,12735009
01753354,_member_meronym,01753488
02876657,_derivationally_related_form,01502279
10698368,_hypernym,10521662
00545557,_hypernym,00109660
06601327,_hypernym,06598915
01388813,_hypernym,01387786
10677713,_derivationally_related_form,02554922
09786338,_derivationally_related_form,02264179
08920381,_has_part,08920924
11804082,_member_meronym,11827169
00179718,_derivationally_related_form,13135832
04986883,_synset_domain_topic_of,06172789
01182654,_derivationally_related_form,02582042
00947923,_hypernym,00947719
05279026,_hypernym,05269901
06740644,_derivationally_related_form,00904690
02330247,_hypernym,02327200
01489989,_derivationally_related_form,02964389
10396106,_derivationally_related_form,08414381
00480221,_hypernym,00126264
07212424,_derivationally_related_form,00873682
02673637,_hypernym,02721160
00217152,_derivationally_related_form,11454591
11897760,_hypernym,11575425
00442063,_derivationally_related_form,01048466
05639431,_hypernym,05637558
07610295,_hypernym,07557165
00235435,_derivationally_related_form,01628449
08560952,_hypernym,08628921
09185612,_synset_domain_topic_of,00704305
15210486,_hypernym,15209706
04677716,_synset_domain_topic_of,11094611
00758525,_hypernym,00757730
06845599,_member_of_domain_usage,04425262
01689379,_hypernym,01690294
04099649,_hypernym,02798290
09931418,_hypernym,10694258
13911872,_derivationally_related_form,01589056
15206744,_hypernym,15113229
00553362,_hypernym,00553173
00025985,_hypernym,00025654
02181402,_hypernym,02180898
01449586,_hypernym,01432517
01664172,_derivationally_related_form,09963320
03812541,_instance_hypernym,08337324
00640889,_hypernym,00636921
12051792,_hypernym,12041446
15244650,_hypernym,15180528
01989720,_derivationally_related_form,05003273
01171183,_verb_group,01172275
01222859,_derivationally_related_form,00850501
14936226,_hypernym,14696793
01032368,_hypernym,01032040
02519666,_hypernym,02367363
04551950,_hypernym,04426788
02319428,_derivationally_related_form,00362103
15174218,_has_part,15211806
08766988,_has_part,08772922
07409592,_derivationally_related_form,01206218
02625418,_member_meronym,02625612
13819207,_hypernym,13815152
00066025,_hypernym,00066191
07484547,_derivationally_related_form,01826060
01468058,_hypernym,01468576
04495051,_hypernym,02883344
00296946,_derivationally_related_form,01912159
09761068,_derivationally_related_form,02434541
07314658,_hypernym,07314427
03654374,_derivationally_related_form,10387586
06987124,_derivationally_related_form,03039087
00777324,_hypernym,00776732
01364184,_hypernym,01363648
11540230,_member_meronym,11540439
00376994,_derivationally_related_form,00107739
11885292,_hypernym,12205694
08663860,_hypernym,08630039
04442831,_derivationally_related_form,10713923
04876985,_hypernym,04723816
01079604,_derivationally_related_form,00463234
08956760,_instance_hypernym,08700255
01726390,_member_meronym,01740283
00255710,_derivationally_related_form,00036362
10580030,_derivationally_related_form,02431320
01626138,_derivationally_related_form,09949946
01325536,_derivationally_related_form,14540564
10567401,_derivationally_related_form,01315613
08848731,_has_part,08849372
12765679,_hypernym,11567411
00565081,_hypernym,00126264
14728724,_hypernym,14944888
02623868,_member_meronym,02626590
09871364,_hypernym,10287213
07176243,_derivationally_related_form,00806049
01885239,_hypernym,01968569
12900987,_hypernym,12900462
00209943,_derivationally_related_form,00352826
14493426,_derivationally_related_form,02632567
02329578,_verb_group,02329733
01181295,_derivationally_related_form,07578363
00633443,_derivationally_related_form,05952979
05997659,_hypernym,05996646
01126846,_hypernym,01127411
00850986,_hypernym,00850425
01076793,_derivationally_related_form,04657876
14356993,_hypernym,14356328
01411630,_derivationally_related_form,04372171
06940290,_derivationally_related_form,03045750
09305479,_instance_hypernym,09233715
10386312,_hypernym,09630641
02632694,_member_meronym,02633287
14538113,_hypernym,14536438
00650016,_derivationally_related_form,05748054
01996735,_derivationally_related_form,08428019
03194992,_hypernym,02772868
01297401,_hypernym,01296462
02369633,_hypernym,02367363
00269258,_hypernym,00266806
15161872,_hypernym,15162210
01642924,_hypernym,01645601
02887489,_derivationally_related_form,01481154
02126686,_hypernym,02125641
01227137,_also_see,01370590
12376950,_member_meronym,12377328
02337699,_derivationally_related_form,08511970
01566476,_derivationally_related_form,10294602
00673766,_derivationally_related_form,05804491
01462005,_derivationally_related_form,00380083
01369758,_also_see,01259458
08860123,_member_of_domain_region,08168117
10913641,_instance_hypernym,09765278
04907575,_hypernym,04907269
01159025,_hypernym,01158690
02272373,_synset_domain_topic_of,01099436
01783706,_hypernym,01767661
07313241,_derivationally_related_form,00365188
06452601,_has_part,06440937
01606205,_hypernym,01587062
08790748,_instance_hypernym,09316454
02387034,_hypernym,02387486
14906850,_hypernym,14806838
01660719,_hypernym,08103777
03027250,_has_part,03594277
02027003,_derivationally_related_form,05113462
14646152,_hypernym,14622893
12505987,_member_meronym,12506181
00889082,_derivationally_related_form,00606600
00716945,_hypernym,00712225
00419137,_derivationally_related_form,07443210
09933411,_hypernym,09762101
09148970,_has_part,09152570
00247442,_hypernym,00243918
04192858,_derivationally_related_form,01130169
03161450,_derivationally_related_form,02191311
00238867,_verb_group,00239614
02627686,_hypernym,01432517
02049672,_member_meronym,02050921
03748886,_derivationally_related_form,01621555
00853958,_derivationally_related_form,06778102
00097504,_derivationally_related_form,01712704
05216365,_has_part,05511286
12501745,_member_meronym,12525347
08946187,_instance_hypernym,08698379
01255222,_hypernym,01299268
01426077,_derivationally_related_form,05913275
01871979,_derivationally_related_form,11458624
14639921,_hypernym,14622893
02291748,_hypernym,02291572
00217956,_hypernym,00214951
00247439,_derivationally_related_form,05399847
04572344,_hypernym,03302121
04046590,_derivationally_related_form,02711543
06742932,_hypernym,06742772
00922144,_derivationally_related_form,01628197
14855724,_derivationally_related_form,03008207
01050187,_hypernym,01048912
02430922,_hypernym,02536557
02593863,_member_meronym,02594250
12039743,_member_meronym,12075495
02650840,_derivationally_related_form,08160276
00653449,_derivationally_related_form,05779116
00084371,_derivationally_related_form,00601822
01576863,_member_meronym,01577265
11165854,_instance_hypernym,10214637
08780881,_member_of_domain_region,13802098
