relation,option,tailEntities,tailEntitiesForOption,optionRepresented
http://bias.org/vocab/film/film_genre/films_in_this_genre,http://bias.org/entity/m/07s9rl0,1864,951,0.5101931
http://bias.org/vocab/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/country,http://bias.org/entity/m/0jdk_,135,69,0.51111114
http://bias.org/vocab/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/country,http://bias.org/entity/m/0kbws,135,72,0.53333336
http://bias.org/vocab/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/country,http://bias.org/entity/m/0jhn7,135,68,0.5037037
http://bias.org/vocab/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/country,http://bias.org/entity/m/06sks6,135,73,0.5407407
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/degree,http://bias.org/entity/m/03ksy,24,14,0.5833333
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/degree,http://bias.org/entity/m/09f2j,24,13,0.5416667
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/degree,http://bias.org/entity/m/01w5m,24,15,0.625
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/degree,http://bias.org/entity/m/07szy,24,15,0.625
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/degree,http://bias.org/entity/m/08815,24,13,0.5416667
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/degree,http://bias.org/entity/m/07tg4,24,13,0.5416667
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/degree,http://bias.org/entity/m/065y4w7,24,13,0.5416667
http://bias.org/vocab/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject,http://bias.org/entity/m/04n6k,411,411,1.0
http://bias.org/vocab/common/annotation_category/annotations./common/webpage/topic,http://bias.org/entity/m/08mbj5d,4891,3590,0.7340012
http://bias.org/vocab/comic_books/comic_book_creator/characters_created,http://bias.org/entity/m/079vf,3,2,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/02vklm3,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/01y49,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/06rny,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/07kbp5,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/05tfm,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/03b3j,15,12,0.8
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/03lsq,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/084l5,15,13,0.8666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/05g49,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/025v26c,15,12,0.8
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/06x76,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0fgg8c,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/043tz8m,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/026lg0s,15,13,0.8666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0wsr,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/05g3b,15,12,0.8
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/051q5,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/01c_d,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0ftf0f,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0ws7,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/07l2m,15,12,0.8
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0487_,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/05gg4,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/03wnh,15,8,0.53333336
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/03gqb0k,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0bjkk9,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/01xvb,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/02pd1q9,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0fsb_6,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/05g3v,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0ft5vs,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/070xg,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0fht9f,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/057xlyq,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/02c_4,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/026cmdc,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/01y3v,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/01ct6,15,12,0.8
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/02px_23,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/057xkj_,15,8,0.53333336
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/04ls81,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/043vc,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/02wvfxl,15,8,0.53333336
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0289q,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/07k53y,15,12,0.8
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0fbtm7,15,12,0.8
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/01y3c,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/04vn5,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/07l24,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/026bt_h,15,8,0.53333336
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/02896,15,11,0.73333335
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/026ldz7,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/05tg3,15,9,0.6
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/06rpd,15,12,0.8
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/086hg9,15,12,0.8
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0g0z58,15,10,0.6666667
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,http://bias.org/entity/m/0fjzsy,15,10,0.6666667
http://bias.org/vocab/music/instrument/instrumentalists,http://bias.org/entity/m/0342h,608,348,0.57236844
http://bias.org/vocab/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,http://bias.org/entity/m/02vxfw_,1278,789,0.6173709
http://bias.org/vocab/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,http://bias.org/entity/m/09zzb8,1278,787,0.6158059
http://bias.org/vocab/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,http://bias.org/entity/m/02r96rf,1278,695,0.5438185
http://bias.org/vocab/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,http://bias.org/entity/m/0ch6mp2,1278,796,0.6228482
http://bias.org/vocab/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,http://bias.org/entity/m/09vw2b7,1278,644,0.5039124
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0z07,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04rwx,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vs_v8,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0dbb3,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01htxr,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03ksy,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/016t0h,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/043zg,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0jbk9,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01cf5,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0197tq,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0hd7j,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vvycq,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01lhdt,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01slc,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04p5cr,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04xrx,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09nqf,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07t58,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01323p,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0p4wb,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0m19t,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/044mfr,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0837ql,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wgxtl,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0gbwp,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09f2j,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05tfm,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03ldxq,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03d34x8,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vsgrn,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wwvc5,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04fv0k,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0p9z5,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0f7hc,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01v3rb,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02j3d4,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/015f7,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0k8z,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0lphb,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0h0yt,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0225bv,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0jm2v,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02gf_l,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0m2l9,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0fp_v1x,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03bnv,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/056wb,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01m3x5p,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0167q3,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04sd0,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0g8rj,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02dtg,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0rh6k,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0r89d,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02_fj,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/058s57,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/099ty,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02zv4b,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01w3v,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09kvv,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0f4yh,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/06gcn,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02mmwk,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/015196,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03x16f,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0l76z,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01_bp,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/016kjs,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07mvp,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0f6lx,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03h_fqv,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wdqrx,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05njw,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0ffgh,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01nv4h,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0232lm,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01nr36,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wk7ql,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/06pwq,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01pf21,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/09889g,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/06c62,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0gd9k,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01q99h,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03d_w3h,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0gkg6,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01ydzx,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01pgzn_,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01d1st,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03772,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0mjn2,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01w806h,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0sxgh,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0320jz,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/051vz,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07ss8_,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/04qdj,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01jgkj2,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01jswq,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01j_9c,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02jq1,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0tr3p,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02zd460,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02607j,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03hkch7,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0gcs9,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wgfp6,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/06pr6,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/05dbf,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0lfgr,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vs5c,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02pd1tf,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0cskb,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07szy,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/018c_r,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/014zfs,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07vyf,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01fl3,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0kw4j,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/071cn,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01wgjj5,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02825cv,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01nzs7,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02q8ms8,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01w7nww,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03mdt,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/02pqs8l,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/052p7,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0163r3,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0gy6z9,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07j8kh,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07swvb,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0dzf_,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/01vsy7t,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/0x0d,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/07tds,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03hj5lq,2,2,1.0
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/03wj4r8,2,2,1.0
