Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b  ?a  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.012516046,0.375,0.75,39,104,52,?a
?g  <http://bias.org/vocab/_also_see>  ?b  ?a  <http://bias.org/vocab/_also_see>  ?g   => ?a  <http://bias.org/vocab/_also_see>  ?b,0.157813703,0.111352526,0.111352526,205,1841,1841,?b
?g  <http://bias.org/vocab/_synset_domain_topic_of>  ?b  ?g  <http://bias.org/vocab/_verb_group>  ?a   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.012516046,0.386138614,0.75,39,101,52,?a
?a  <http://bias.org/vocab/_has_part>  ?h  ?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.013478819,0.259259259,0.79245283,42,162,53,?a
?a  <http://bias.org/vocab/_instance_hypernym>  ?h  ?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.032092426,0.395256917,0.862068966,100,253,116,?a
?g  <http://bias.org/vocab/_has_part>  ?a  ?g  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.018934531,0.239837398,0.746835443,59,246,79,?a
?a  <http://bias.org/vocab/_hypernym>  ?h  ?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.178754814,0.285056295,0.809593023,557,1954,688,?a
?a  <http://bias.org/vocab/_derivationally_related_form>  ?h  ?h  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.036264442,0.065545244,0.495614035,113,1724,228,?a
?a  <http://bias.org/vocab/_has_part>  ?g  ?g  <http://bias.org/vocab/_hypernym>  ?b   => ?a  <http://bias.org/vocab/_has_part>  ?b,0.01038206,0.022482014,0.101832994,50,2224,491,?b
?g  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?g  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.03690629,0.067766647,0.502183406,115,1697,229,?a
?a  <http://bias.org/vocab/_has_part>  ?h  ?b  <http://bias.org/vocab/_instance_hypernym>  ?h   => ?a  <http://bias.org/vocab/_has_part>  ?b,0.029900332,0.41025641,0.52173913,144,351,276,?b
?g  <http://bias.org/vocab/_hypernym>  ?a  ?g  <http://bias.org/vocab/_synset_domain_topic_of>  ?b   => ?a  <http://bias.org/vocab/_synset_domain_topic_of>  ?b,0.088254172,0.145348837,0.721784777,275,1892,381,?a
?a  <http://bias.org/vocab/_derivationally_related_form>  ?h  ?b  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.022110045,0.30430755,0.374358974,657,2159,1755,?b
?a  <http://bias.org/vocab/_derivationally_related_form>  ?g  ?g  <http://bias.org/vocab/_verb_group>  ?b   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.022278311,0.303530491,0.370660694,662,2181,1786,?b
?g  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?g  <http://bias.org/vocab/_verb_group>  ?b   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.021773515,0.298019346,0.366364666,647,2171,1766,?b
?h  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?b  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.021638903,0.298791822,0.36954023,643,2152,1740,?b
?h  <http://bias.org/vocab/_derivationally_related_form>  ?b  ?a  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.021336026,0.294609665,0.294609665,634,2152,2152,?b
?b  <http://bias.org/vocab/_derivationally_related_form>  ?h  ?a  <http://bias.org/vocab/_verb_group>  ?h   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.021706209,0.298749421,0.304101839,645,2159,2121,?b
?b  <http://bias.org/vocab/_derivationally_related_form>  ?g  ?g  <http://bias.org/vocab/_verb_group>  ?a   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.021807168,0.297111417,0.30195713,648,2181,2146,?b
?g  <http://bias.org/vocab/_derivationally_related_form>  ?b  ?g  <http://bias.org/vocab/_verb_group>  ?a   => ?a  <http://bias.org/vocab/_derivationally_related_form>  ?b,0.021403332,0.292952556,0.292952556,636,2171,2171,?b
?h  <http://bias.org/vocab/_derivationally_related_form>  ?b  ?a  <http://bias.org/vocab/_derivationally_related_form>  ?h   => ?a  <http://bias.org/vocab/_verb_group>  ?b,0.422671353,0.008085393,0.145537065,481,59490,3305,?b
?g  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?g  <http://bias.org/vocab/_derivationally_related_form>  ?b   => ?a  <http://bias.org/vocab/_verb_group>  ?b,0.430579965,0.008160003,0.146137787,490,60049,3353,?b
?a  <http://bias.org/vocab/_derivationally_related_form>  ?h  ?b  <http://bias.org/vocab/_derivationally_related_form>  ?h   => ?a  <http://bias.org/vocab/_verb_group>  ?b,0.41827768,0.007909079,0.145299145,476,60184,3276,?b
?h  <http://bias.org/vocab/_derivationally_related_form>  ?a  ?b  <http://bias.org/vocab/_derivationally_related_form>  ?h   => ?a  <http://bias.org/vocab/_verb_group>  ?b,0.423550088,0.008102202,0.147130647,482,59490,3276,?b
