Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?b  <http://bias.org/vocab/bandMember>  ?a   => ?a  <http://bias.org/vocab/formerBandMember>  ?b,0.06557377,0.061068702,0.727272727,8,131,11,?b
?a  <http://bias.org/vocab/bandMember>  ?b   => ?a  <http://bias.org/vocab/formerBandMember>  ?b,0.098360656,0.091603053,0.5,12,131,24,?b
?a  <http://bias.org/vocab/stateOfOrigin>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b,0.011363636,0.115942029,1,8,69,8,?a
?b  <http://bias.org/vocab/associatedMusicalArtist>  ?a   => ?a  <http://bias.org/vocab/formerBandMember>  ?b,0.43442623,0.074229692,0.654320988,53,714,81,?b
?b  <http://bias.org/vocab/associatedBand>  ?a   => ?a  <http://bias.org/vocab/formerBandMember>  ?b,0.401639344,0.070707071,0.620253165,49,693,79,?b
?b  <http://bias.org/vocab/formerBandMember>  ?a   => ?a  <http://bias.org/vocab/formerBandMember>  ?b,0.295081967,0.295081967,0.837209302,36,122,43,?b
?a  <http://bias.org/vocab/residence>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b,0.041193182,0.150259067,0.852941176,29,193,34,?a
?a  <http://bias.org/vocab/nationality>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b,0.038352273,0.14516129,0.84375,27,186,32,?a
?a  <http://bias.org/vocab/birthPlace>  ?b   => ?a  <http://bias.org/vocab/deathPlace>  ?b,0.295454545,0.086847599,0.729824561,208,2395,285,?a
?a  <http://bias.org/vocab/subsequentWork>  ?b   => ?a  <http://bias.org/vocab/album>  ?b,0.018292683,0.007407407,0.25,3,405,12,?a
?a  <http://bias.org/vocab/instrument>  ?b   => ?a  <http://bias.org/vocab/occupation>  ?b,0.014619883,0.014164306,0.416666667,5,353,12,?a
?b  <http://bias.org/vocab/manager>  ?a   => ?a  <http://bias.org/vocab/managerClub>  ?b,0.039473684,0.375,0.545454545,12,32,22,?a
?a  <http://bias.org/vocab/team>  ?b   => ?a  <http://bias.org/vocab/managerClub>  ?b,0.253289474,0.025615436,0.442528736,77,3006,174,?a
?a  <http://bias.org/vocab/deathPlace>  ?b   => ?a  <http://bias.org/vocab/residence>  ?b,0.150259067,0.041193182,0.852941176,29,704,34,?a
?a  <http://bias.org/vocab/birthPlace>  ?b   => ?a  <http://bias.org/vocab/residence>  ?b,0.310880829,0.025052192,0.740740741,60,2395,81,?a
?a  <http://bias.org/vocab/hometown>  ?b   => ?a  <http://bias.org/vocab/residence>  ?b,0.010362694,0.005167959,1,2,387,2,?a
?a  <http://bias.org/vocab/restingPlace>  ?b   => ?a  <http://bias.org/vocab/residence>  ?b,0.010362694,0.043478261,0.666666667,2,46,3,?a
?a  <http://bias.org/vocab/stateOfOrigin>  ?b   => ?a  <http://bias.org/vocab/residence>  ?b,0.051813472,0.144927536,0.833333333,10,69,12,?a
?a  <http://bias.org/vocab/nationality>  ?b   => ?a  <http://bias.org/vocab/residence>  ?b,0.093264249,0.096774194,0.857142857,18,186,21,?a
?a  <http://bias.org/vocab/citizenship>  ?b   => ?a  <http://bias.org/vocab/residence>  ?b,0.062176166,0.307692308,0.923076923,12,39,13,?a
?b  <http://bias.org/vocab/neighboringMunicipality>  ?a   => ?a  <http://bias.org/vocab/neighboringMunicipality>  ?b,0.811594203,0.811594203,0.918032787,112,138,122,?a
?a  <http://bias.org/vocab/network>  ?b   => ?a  <http://bias.org/vocab/distributor>  ?b,0.015810277,0.042105263,0.8,4,95,5,?a
?b  <http://bias.org/vocab/product>  ?a   => ?a  <http://bias.org/vocab/product>  ?b,0.025641026,0.025641026,1,3,117,3,?a
?b  <http://bias.org/vocab/developer>  ?a   => ?a  <http://bias.org/vocab/product>  ?b,0.025641026,0.069767442,0.75,3,43,4,?a
?b  <http://bias.org/vocab/company>  ?a   => ?a  <http://bias.org/vocab/product>  ?b,0.017094017,0.029850746,0.4,2,67,5,?a
?a  <http://bias.org/vocab/company>  ?b   => ?a  <http://bias.org/vocab/distributor>  ?b,0.011857708,0.044776119,0.75,3,67,4,?a
?a  <http://bias.org/vocab/industry>  ?b   => ?a  <http://bias.org/vocab/product>  ?b,0.042735043,0.061728395,0.555555556,5,81,9,?a
?a  <http://bias.org/vocab/creator>  ?b   => ?a  <http://bias.org/vocab/director>  ?b,0.012820513,0.071428571,1,3,42,3,?a
?a  <http://bias.org/vocab/author>  ?b   => ?a  <http://bias.org/vocab/director>  ?b,0.017094017,0.075471698,0.666666667,4,53,6,?a
?a  <http://bias.org/vocab/executiveProducer>  ?b   => ?a  <http://bias.org/vocab/director>  ?b,0.017094017,0.071428571,0.666666667,4,56,6,?a
?a  <http://bias.org/vocab/editing>  ?b   => ?a  <http://bias.org/vocab/director>  ?b,0.02991453,0.092105263,0.388888889,7,76,18,?a
?b  <http://bias.org/vocab/director>  ?a   => ?a  <http://bias.org/vocab/director>  ?b,0.012820513,0.012820513,0.75,3,234,4,?a
?a  <http://bias.org/vocab/writer>  ?b   => ?a  <http://bias.org/vocab/director>  ?b,0.286324786,0.106858054,0.827160494,67,627,81,?a
?b  <http://bias.org/vocab/countySeat>  ?a   => ?a  <http://bias.org/vocab/isPartOf>  ?b,0.045563549,0.904761905,1,19,21,19,?a
?b  <http://bias.org/vocab/largestCity>  ?a   => ?a  <http://bias.org/vocab/isPartOf>  ?b,0.038369305,0.8,1,16,20,16,?a
?b  <http://bias.org/vocab/part>  ?a   => ?a  <http://bias.org/vocab/isPartOf>  ?b,0.057553957,0.615384615,0.96,24,39,25,?a
?b  <http://bias.org/vocab/isPartOf>  ?a   => ?a  <http://bias.org/vocab/isPartOf>  ?b,0.040767386,0.040767386,0.566666667,17,417,30,?a
?a  <http://bias.org/vocab/producer>  ?b   => ?a  <http://bias.org/vocab/director>  ?b,0.170940171,0.046296296,0.869565217,40,864,46,?a
?a  <http://bias.org/vocab/producer>  ?b   => ?a  <http://bias.org/vocab/musicalArtist>  ?b,0.178030303,0.054398148,0.746031746,47,864,63,?a
?a  <http://bias.org/vocab/writer>  ?b   => ?a  <http://bias.org/vocab/musicalArtist>  ?b,0.303030303,0.127591707,0.792079208,80,627,101,?a
?a  <http://bias.org/vocab/musicalBand>  ?b   => ?a  <http://bias.org/vocab/musicalArtist>  ?b,0.916666667,0.920152091,0.995884774,242,263,243,?a
?a  <http://bias.org/vocab/locationCountry>  ?b   => ?a  <http://bias.org/vocab/country>  ?b,0.016420361,0.277777778,1,10,36,10,?a
?b  <http://bias.org/vocab/subsequentWork>  ?a   => ?a  <http://bias.org/vocab/subsequentWork>  ?b,0.027160494,0.027160494,0.289473684,11,405,38,?a
?a  <http://bias.org/vocab/birthPlace>  ?b   => ?a  <http://bias.org/vocab/country>  ?b,0.011494253,0.002922756,0.636363636,7,2395,11,?a
?a  <http://bias.org/vocab/location>  ?b   => ?a  <http://bias.org/vocab/country>  ?b,0.02955665,0.053571429,0.642857143,18,336,28,?a
?a  <http://bias.org/vocab/previousWork>  ?b   => ?a  <http://bias.org/vocab/subsequentWork>  ?b,0.014814815,0.014925373,0.176470588,6,402,34,?a
?a  <http://bias.org/vocab/birthPlace>  ?b   => ?a  <http://bias.org/vocab/hometown>  ?b,0.069767442,0.011273486,0.794117647,27,2395,34,?a
?a  <http://bias.org/vocab/governmentType>  ?b   => ?a  <http://bias.org/vocab/type>  ?b,0.052884615,0.594594595,1,22,37,22,?a
?a  <http://bias.org/vocab/league>  ?b   => ?a  <http://bias.org/vocab/position>  ?b,0.146153846,0.275362319,0.76,19,69,25,?a
?b  <http://bias.org/vocab/previousWork>  ?a   => ?a  <http://bias.org/vocab/subsequentWork>  ?b,0.795061728,0.800995025,0.996904025,322,402,323,?a
?b  <http://bias.org/vocab/commander>  ?a   => ?a  <http://bias.org/vocab/battle>  ?b,0.03930131,0.233766234,0.75,18,77,24,?a
?a  <http://bias.org/vocab/parent>  ?b   => ?a  <http://bias.org/vocab/predecessor>  ?b,0.018072289,0.078947368,1,3,38,3,?a
?b  <http://bias.org/vocab/primeMinister>  ?a   => ?a  <http://bias.org/vocab/predecessor>  ?b,0.018072289,0.130434783,0.6,3,23,5,?a
?a  <http://bias.org/vocab/primeMinister>  ?b   => ?a  <http://bias.org/vocab/predecessor>  ?b,0.012048193,0.086956522,1,2,23,2,?a
?a  <http://bias.org/vocab/president>  ?b   => ?a  <http://bias.org/vocab/predecessor>  ?b,0.024096386,0.070175439,0.571428571,4,57,7,?a
?b  <http://bias.org/vocab/predecessor>  ?a   => ?a  <http://bias.org/vocab/predecessor>  ?b,0.060240964,0.060240964,0.4,10,166,25,?a
?a  <http://bias.org/vocab/successor>  ?b   => ?a  <http://bias.org/vocab/predecessor>  ?b,0.048192771,0.04040404,0.307692308,8,198,26,?a
?b  <http://bias.org/vocab/successor>  ?a   => ?a  <http://bias.org/vocab/predecessor>  ?b,0.686746988,0.575757576,0.982758621,114,198,116,?a
?a  <http://bias.org/vocab/director>  ?b   => ?a  <http://bias.org/vocab/producer>  ?b,0.046296296,0.170940171,0.869565217,40,234,46,?a
?a  <http://bias.org/vocab/musicalArtist>  ?b   => ?a  <http://bias.org/vocab/producer>  ?b,0.054398148,0.178030303,0.746031746,47,264,63,?a
?a  <http://bias.org/vocab/artist>  ?b   => ?a  <http://bias.org/vocab/producer>  ?b,0.076388889,0.284482759,0.76744186,66,232,86,?a
?a  <http://bias.org/vocab/musicalBand>  ?b   => ?a  <http://bias.org/vocab/producer>  ?b,0.054398148,0.178707224,0.758064516,47,263,62,?a
?a  <http://bias.org/vocab/starring>  ?b   => ?a  <http://bias.org/vocab/producer>  ?b,0.021990741,0.01848249,0.271428571,19,1028,70,?a
?b  <http://bias.org/vocab/formerBandMember>  ?a   => ?a  <http://bias.org/vocab/associatedBand>  ?b,0.070707071,0.401639344,0.803278689,49,122,61,?a
?b  <http://bias.org/vocab/bandMember>  ?a   => ?a  <http://bias.org/vocab/associatedBand>  ?b,0.063492063,0.335877863,0.846153846,44,131,52,?a
?a  <http://bias.org/vocab/writer>  ?b   => ?a  <http://bias.org/vocab/producer>  ?b,0.128472222,0.177033493,0.720779221,111,627,154,?a
?b  <http://bias.org/vocab/associatedMusicalArtist>  ?a   => ?a  <http://bias.org/vocab/associatedBand>  ?b,0.215007215,0.208683473,0.547794118,149,714,272,?a
?b  <http://bias.org/vocab/associatedBand>  ?a   => ?a  <http://bias.org/vocab/associatedBand>  ?b,0.206349206,0.206349206,0.545801527,143,693,262,?a
?a  <http://bias.org/vocab/associatedMusicalArtist>  ?b   => ?a  <http://bias.org/vocab/associatedBand>  ?b,0.923520924,0.896358543,0.96969697,640,714,660,?a
?b  <http://bias.org/vocab/starring>  ?a   => ?a  <http://bias.org/vocab/starring>  ?b,0.028210117,0.028210117,1,29,1028,29,?a
?a  <http://bias.org/vocab/writer>  ?b   => ?a  <http://bias.org/vocab/starring>  ?b,0.013618677,0.022328549,0.205882353,14,627,68,?a
?a  <http://bias.org/vocab/producer>  ?b   => ?a  <http://bias.org/vocab/starring>  ?b,0.01848249,0.021990741,0.296875,19,864,64,?a
?a  <http://bias.org/vocab/stateOfOrigin>  ?b   => ?a  <http://bias.org/vocab/birthPlace>  ?b,0.014196242,0.492753623,0.944444444,34,69,36,?a
?a  <http://bias.org/vocab/residence>  ?b   => ?a  <http://bias.org/vocab/birthPlace>  ?b,0.025052192,0.310880829,0.740740741,60,193,81,?a
?a  <http://bias.org/vocab/hometown>  ?b   => ?a  <http://bias.org/vocab/birthPlace>  ?b,0.011273486,0.069767442,0.818181818,27,387,33,?a
?a  <http://bias.org/vocab/managerClub>  ?b   => ?a  <http://bias.org/vocab/team>  ?b,0.025615436,0.253289474,0.496774194,77,304,155,?a
?a  <http://bias.org/vocab/deathPlace>  ?b   => ?a  <http://bias.org/vocab/birthPlace>  ?b,0.086847599,0.295454545,0.737588652,208,704,282,?a
?a  <http://bias.org/vocab/nationality>  ?b   => ?a  <http://bias.org/vocab/birthPlace>  ?b,0.025887265,0.333333333,0.873239437,62,186,71,?a
?h  <http://bias.org/vocab/instrument>  ?b  ?a  <http://bias.org/vocab/stylisticOrigin>  ?h   => ?a  <http://bias.org/vocab/instrument>  ?b,0.011331445,0.444444444,0.571428571,4,9,7,?a
?g  <http://bias.org/vocab/region>  ?b  ?g  <http://bias.org/vocab/successor>  ?a   => ?a  <http://bias.org/vocab/region>  ?b,0.019047619,0.5,1,2,4,2,?a
?h  <http://bias.org/vocab/region>  ?b  ?a  <http://bias.org/vocab/successor>  ?h   => ?a  <http://bias.org/vocab/region>  ?b,0.019047619,0.333333333,1,2,6,2,?a
?g  <http://bias.org/vocab/birthPlace>  ?b  ?g  <http://bias.org/vocab/successor>  ?a   => ?a  <http://bias.org/vocab/region>  ?b,0.019047619,0.117647059,1,2,17,2,?a
?a  <http://bias.org/vocab/previousWork>  ?h  ?h  <http://bias.org/vocab/recordedIn>  ?b   => ?a  <http://bias.org/vocab/recordedIn>  ?b,0.021352313,0.333333333,1,6,18,6,?a
?a  <http://bias.org/vocab/predecessor>  ?h  ?h  <http://bias.org/vocab/region>  ?b   => ?a  <http://bias.org/vocab/region>  ?b,0.019047619,0.5,1,2,4,2,?a
?a  <http://bias.org/vocab/album>  ?h  ?h  <http://bias.org/vocab/recordedIn>  ?b   => ?a  <http://bias.org/vocab/recordedIn>  ?b,0.017793594,0.5,1,5,10,5,?a
?g  <http://bias.org/vocab/deathPlace>  ?a  ?g  <http://bias.org/vocab/deathPlace>  ?b   => ?a  <http://bias.org/vocab/region>  ?b,0.019047619,0.008733624,0.5,2,229,4,?a
?b  <http://bias.org/vocab/broadcastArea>  ?h  ?a  <http://bias.org/vocab/city>  ?h   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.023255814,0.133333333,0.5,4,30,8,?a
?a  <http://bias.org/vocab/broadcastArea>  ?h  ?b  <http://bias.org/vocab/broadcastArea>  ?h   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.011627907,0.028985507,0.111111111,2,69,18,?a
?h  <http://bias.org/vocab/recordedIn>  ?b  ?a  <http://bias.org/vocab/subsequentWork>  ?h   => ?a  <http://bias.org/vocab/recordedIn>  ?b,0.017793594,0.333333333,1,5,15,5,?a
?a  <http://bias.org/vocab/artist>  ?h  ?h  <http://bias.org/vocab/hometown>  ?b   => ?a  <http://bias.org/vocab/recordedIn>  ?b,0.010676157,0.130434783,0.75,3,23,4,?a
?g  <http://bias.org/vocab/predecessor>  ?a  ?g  <http://bias.org/vocab/region>  ?b   => ?a  <http://bias.org/vocab/region>  ?b,0.019047619,0.25,1,2,8,2,?a
?g  <http://bias.org/vocab/album>  ?a  ?g  <http://bias.org/vocab/recordedIn>  ?b   => ?a  <http://bias.org/vocab/recordedIn>  ?b,0.017793594,0.384615385,1,5,13,5,?a
?a  <http://bias.org/vocab/owner>  ?h  ?b  <http://bias.org/vocab/owner>  ?h   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.011627907,0.027027027,0.4,2,74,5,?a
?a  <http://bias.org/vocab/city>  ?h  ?b  <http://bias.org/vocab/city>  ?h   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.040697674,0.033175355,0.291666667,7,211,24,?a
?a  <http://bias.org/vocab/birthPlace>  ?h  ?b  <http://bias.org/vocab/city>  ?h   => ?a  <http://bias.org/vocab/formerTeam>  ?b,0.016216216,0.001194268,0.272727273,3,2512,11,?a
?b  <http://bias.org/vocab/predecessor>  ?h  ?a  <http://bias.org/vocab/sisterStation>  ?h   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.011627907,0.666666667,0.666666667,2,3,3,?a
?g  <http://bias.org/vocab/network>  ?a  ?g  <http://bias.org/vocab/network>  ?b   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.011627907,0.045454545,0.5,2,44,4,?a
?g  <http://bias.org/vocab/previousWork>  ?a  ?g  <http://bias.org/vocab/recordedIn>  ?b   => ?a  <http://bias.org/vocab/recordedIn>  ?b,0.021352313,0.375,1,6,16,6,?a
?h  <http://bias.org/vocab/hometown>  ?b  ?a  <http://bias.org/vocab/musicalBand>  ?h   => ?a  <http://bias.org/vocab/recordedIn>  ?b,0.010676157,0.136363636,1,3,22,3,?a
?g  <http://bias.org/vocab/genre>  ?a  ?g  <http://bias.org/vocab/instrument>  ?b   => ?a  <http://bias.org/vocab/instrument>  ?b,0.019830028,0.125,0.28,7,56,25,?a
?h  <http://bias.org/vocab/predecessor>  ?b  ?a  <http://bias.org/vocab/sisterStation>  ?h   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.011627907,0.5,0.5,2,4,4,?a
?g  <http://bias.org/vocab/birthPlace>  ?b  ?a  <http://bias.org/vocab/predecessor>  ?g   => ?a  <http://bias.org/vocab/region>  ?b,0.019047619,0.181818182,0.666666667,2,11,3,?a
?h  <http://bias.org/vocab/broadcastArea>  ?b  ?a  <http://bias.org/vocab/sisterStation>  ?h   => ?a  <http://bias.org/vocab/city>  ?b,0.033898305,0.266666667,0.666666667,4,15,6,?a
?g  <http://bias.org/vocab/broadcastArea>  ?b  ?g  <http://bias.org/vocab/sisterStation>  ?a   => ?a  <http://bias.org/vocab/city>  ?b,0.033898305,0.25,0.666666667,4,16,6,?a
?h  <http://bias.org/vocab/sisterStation>  ?a  ?b  <http://bias.org/vocab/sisterStation>  ?h   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.180232558,0.196202532,0.197452229,31,158,157,?a
?g  <http://bias.org/vocab/almaMater>  ?a  ?g  <http://bias.org/vocab/residence>  ?b   => ?a  <http://bias.org/vocab/city>  ?b,0.016949153,0.076923077,1,2,26,2,?a
?g  <http://bias.org/vocab/recordedIn>  ?b  ?g  <http://bias.org/vocab/subsequentWork>  ?a   => ?a  <http://bias.org/vocab/recordedIn>  ?b,0.017793594,0.263157895,1,5,19,5,?a
?g  <http://bias.org/vocab/city>  ?b  ?g  <http://bias.org/vocab/sisterStation>  ?a   => ?a  <http://bias.org/vocab/city>  ?b,0.059322034,0.4375,1,7,16,7,?a
?a  <http://bias.org/vocab/genre>  ?h  ?h  <http://bias.org/vocab/instrument>  ?b   => ?a  <http://bias.org/vocab/instrument>  ?b,0.135977337,0.030456853,0.413793103,48,1576,116,?a
?h  <http://bias.org/vocab/city>  ?b  ?a  <http://bias.org/vocab/sisterStation>  ?h   => ?a  <http://bias.org/vocab/city>  ?b,0.059322034,0.466666667,1,7,15,7,?a
?a  <http://bias.org/vocab/sisterStation>  ?h  ?b  <http://bias.org/vocab/sisterStation>  ?h   => ?a  <http://bias.org/vocab/sisterStation>  ?b,0.23255814,0.193236715,0.193236715,40,207,207,?a
?b  <http://bias.org/vocab/formerBandMember>  ?a  ?a  <http://bias.org/vocab/formerBandMember>  ?b   => ?a  <http://bias.org/vocab/bandMember>  ?b,0.061068702,0.222222222,1,8,36,8,?a
?g  <http://bias.org/vocab/almaMater>  ?a  ?g  <http://bias.org/vocab/birthPlace>  ?b   => ?a  <http://bias.org/vocab/city>  ?b,0.016949153,0.032258065,0.2,2,62,10,?a
